znf_name	data_no	data_source	peak_number	repeat_number	motif_all_img_path
ZNF891	GSM2466682	GSE78099	256	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF891/raw/logo1.png
ZNF75D	GSM2466648	GSE78099	6800	11	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF75D/raw/logo1.png
ZFP90	GSM2466454	GSE78099	287	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP90/raw/logo1.png
ZNF333	GSM2466533	GSE78099	1636	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF333/raw/logo1.png
ZNF527	GSM2466580	GSE78099	174	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF527/raw/logo1.png
ZFP69B	GSM2466452	GSE78099	3411	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP69B/raw/logo1.png
ZIM3	GSM2466457	GSE78099	14645	13	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZIM3/raw/logo1.png
ZNF25	GSM2466507	GSE78099	151	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF25/raw/logo1.png
ZNF136	GSM2466478	GSE78099	5507	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF136/raw/logo1.png
ZNF224	GSM2466501	GSE78099	359	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF224/raw/logo1.png
ZNF708	GSM2466640	GSE78099	578	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF708/raw/logo1.png
ZNF84	GSM2466677	GSE78099	13862	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF84/raw/logo1.png
ZNF287	GSM2466520	GSE78099	1506	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF287/raw/logo1.png
ZNF235	GSM2466503	GSE78099	47	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF235/raw/logo1.png
ZNF766	GSM2466652	GSE78099	7701	5	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF766/raw/logo1.png
ZNF184	GSM2466488	GSE78099	294	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF184/raw/logo1.png
ZNF695	GSM2466635	GSE78099	7123	8	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF695/raw/logo1.png
ZNF302	GSM2466524	GSE78099	326	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF302/raw/logo1.png
ZNF649	GSM2466622	GSE78099	3840	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF649/raw/logo1.png
ZNF214	GSM2466498	GSE78099	27	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF214/raw/logo1.png
ZNF141	GSM2466479	GSE78099	4541	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF141/raw/logo1.png
ZNF264	GSM2466509	GSE78099	307	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF264/raw/logo1.png
